Alexa, Marc
Arenas, Marcelo
Bailey, Michael
Banerjee, Arindam
Barrett, Clark
Bodker, Susanne
Chandra, Satish
Chechik, Marsha
Chen, Lei
Chen, Wei
Chiasserini, Carla Fabiana
Chong, Fred
Cook, Diane Joyce
Crocker, Stephen David
Curless, Brian
de Alfaro, Luca
de Rijke, Maarten
Delp, Edward J
Dressler, Falko
Dreyer, Derek
Elmqvist, Niklas
Feldman, Michal
Foster, Nate
Goel, Ashish
Guha, Sudipto
Heer, Jeffrey Michael
Housley, Russell
Hudson, Scott
Kankanhalli, Mohan
King, Irwin
Lampe, Cliff
Leonardi, Stefano
Li, Guoliang
Madni, Azad M
Menzies, Tim J.
Mezini, Mira
Misra, Sudip
Nuseibeh, Bashar A
O'Hearn, Peter W
Ozcan, Fatma
Pagh, Rasmus
Panda, Dhabaleswar K
Ramakrishnan, Naren
Randall, Dana
Roychoudhury, Abhik
Silva, Claudio T.
Starner, Thad
Tian, Qi
Walid, Anwar
Wang, Haixun
Xing, Guoliang
Zhao, Feng
Zhou, Jingren
Zobel, Justin
Zorn, Benjamin G
Akella, Aditya
Backes, Michael
Bafna, Vineet
Balcan, Maria-Florina
Bansal, Nikhil
Belkin, Mikhail
Ben-David, Shai
Bengio, Yoshua
Berners-Lee, Tim
Betz, Vaughn Timothy
Caceres, Ramon
Chekuri, Chandra
Chen, Haibo
Chen, Yingying
Church, Kenneth Ward
Dannenberg, Roger B.
Dong, Xin Luna
Drechsler, Rolf
Du, Wenliang
Dubey, Pradeep
Feldmann, Anja
Fitzmaurice, George
Fomin, Fedor
Foster, Jeffrey S
Gao, Jianfeng
Goldberg, Ian
Gulwani, Sumit
Han, Zhu
Hinton, Geoffrey E
Immorlica, Nicole
Jaeger, Trent
Koedinger, Kenneth Richard
Krause, Andreas
Kruegel, Christopher Ian
Kung, Ht
LeCun, Yann
Lo, David
Lou, Wenjing
Ma, Kwan-Liu
Ma, Wei-Ying
Mao, Zhuoqing
McGuinness, Deborah
Medioni, Gerard
Mehrotra, Sharad
Naor, Seffi
Narayanan, Shrikanth
Noy, Natasha
Pasareanu, Corina S
Pedram, Massoud
Raghunathan, Anand
Raphael, Benjamin
Ron, Dana
Roughgarden, Tim
Sankoff, David
Saroiu, Stefan
Schmidt, Albrecht
Schuller, Björn W.
Sengers, Phoebe
Shi, Elaine
Snavely, Keith Noah
Sriram, Ram D
Staab, Steffen
Szalay, Alexander
Varma, Manik
Wang, XiaoFeng
Weinberger, Kilian
Witchel, Emmett
Xie, Xing
Agrawala, Maneesh
Anandkumar, Anima
Atienza Alonso, David
Barak, Boaz
Beaudouin-Lafon, Michel
Boncz, Peter
Ceze, Luis H
Chandra, Ranveer
Chawla, Nitesh
Chi, Ed H.
Cortes, Corinna
Curtis, Bill
Daskalakis, Constantinos
de Supinski, Bronis R.
Deb, Kalyanmoy
Elbaum, Sebastian
Fang, Yuguang
Fu, Kevin
Gotsman, Craig
Hassan, Ahmed E.
Helal, Sumi
Henkel, Joerg
Hermenegildo, Manuel V
Hicks, Michael W
Hoefler, Torsten
Hong, Jason
Irani, Sandy
Ishii, Hiroshi
Kemper, Alfons
Khuller, Samir
Koushanfar, Farinaz
Kuo, Chung C
Li, Hang
Lin, Jimmy
Marculescu, Radu
Mei, Hong
Mount, David M
Navarro, Gonzalo
Pass, Rafael
Pollefeys, Marc
Pothen, Alex
Qureshi, Moinuddin
Sabharwal, Ashutosh
Sherwood, Tim
Soatto, Stefano
Stasko, John
Su, Zhendong
Sullivan, Gary J.
Teevan, Jaime
Toyama, Kentaro
Vidal, Rene
Xing, Eric
Yu, Dong
Yu, Yizhou
Zheng, Haitao
Zhu, Wenwu
Zorin, Denis
Adleman, Leonard M.
Bader, David A
Balakrishnan, Meenakshi
Braverman, Mark
Camp, Linda Jean
Chang, Edward Y
Choudhury, Tanzeem
Cohen-Or, Daniel
Das, Gautam
Dey, Anind K.
Eeckhout, Lieven
Farach-Colton, Martin
Fiat, Amos
Franke, Hubertus
Friedman, Batya
Gabrilovich, Evgeniy
Gal-Ezer, Judith
Ganesan, Deepak
Gupta, Anupam
Haas, Zygmunt J.
Hazan, Elad
Hu, Xiaobo Sharon
Inverardi, Paola
Ives, Zachary
Jajodia, Sushil
Jhala, Ranjit
Kaeli, David R
Katz, Jonathan
Kleinberg, Robert
Lengauer, Thomas
Li, Feifei
Li, Hai
Li, Ninghui
Liu, Tie-Yan
Marschner, Steve
Mason, Matthew T
Miller, Dale A
Mossel, Elchanan
Nebel, Bernhard
Nikolaj, Bjorner
Ostrovsky, Rafail
Ouaknine, Joel
Pan, David Z.
Picard, Rosalind Wright
Qadeer, Shaz
Ricart, Glenn
Rosing, Tajana
Ross, Robert B
Rusinkiewicz, Szymon
Samarati, Pierangela
Sarawagi, Sunita
Schiele, Bernt
Shah, Mubarak Ali
Sheffer, Alla
Singh, Munindar P.
Sistla, Aravinda P
Smolka, Scott
Tang, Jie
Tehranipoor, Mark
Trevisan, Luca
Wang, Wenping
Waters, Brent
White, Ryen W
Wobbrock, Jacob Otto
Xie, Tao
Yang, Ming-Hsuan
Zaki, Mohammed
Zhao, Ben Y.
Zhong, Lin
Zilberstein, Shlomo
Zimmermann, Thomas
Abadi, Daniel J
Allan, James
Aluru, Srinivas
Arpaci-Dusseau, Andrea
Arpaci-Dusseau, Remzi
