total number:  152
Sam Kwong
Bernd Girod
Le Lu
Xiuzhen Cheng
Sina Farsiu
Lorenzo Bruzzone
Naoki Yokoyama
Sheng Chen
Ming Li
Ping Li
Kai Li
Xiao-Ping Zhang
Yu Wang
Vittorio Murino
Aidong Zhang
Bernt Schiele
Ming-Hsuan Yang
Lei Chen
Xuelong Li
Qi Tian
Mengjie Zhang
Edwin R. Hancock
Dacheng Tao
Qingming Huang
Hui Li
Enrique Herrera-Viedma
Zhe Chen
Ling Shao
Deming Chen
Xilin Chen
Xiaokang Yang
Yi Ma
Pengfei Xia
Ruzena Bajcsy
Qi Bi
Fatih Porikli
Yong Liu
Xin Li
Eric P. Xing
Henry Leung
Tingwen Huang
Bhavani Thuraisingham
Guangming Shi
Yiran Chen
Josef Kittler
Shutao Li
Siwei Lyu
Jenq-Neng Hwang
Guoying Zhao
Bing Liu
Tao Li
Jun Zhang
Nanning Zheng
Baoquan Chen
Jie Chen
Liang Wang
Jun Li
Yingying Chen
Yong Rui
Jun Wang
Bhiksha Raj
Jan P. Allebach
Hui Zhang
Ping Zhou
Jingdong Wang
Jingyi Yu
Yunhong Wang
Yong Lian
Sheng Liu
Licheng Jiao
Mark Sandler
Jian Li
Yu Sun
Peng Li
Bin Jiang
Fei Wang
Shan Wang
Wei Wang
Shan Liu
Ping Zhang
Xin Liu
Zheng Zhang
Changsheng Xu
Jia-Ming Liu
Chenyang Lu
Nam Ling
Jianfei Cai
Weijia Jia
Wei Lu
Jing Xiao
Ce Zhu
Subhasis Chaudhuri
Nuno Vasconcelos
Weisi Lin
Houqiang Li
Jie Wu
Stefano Soatto
Jian Chen
Jie Liu
Yi Wang
Tieniu Tan
Hao Xin
Wenwu Zhu
Peng Wang
Yun Fu
Yuan Wang
Yonghong Tian
Humberto Bustince
Tao Mei
Qing Wang
Farid Melgani
Qiming Zhang
Jia Wang
Jiebo Luo
Jie Yang
Yingli Tian
Yi Zhang
Gang Hua
Song-Chun Zhu
Heng Tao Shen
Guang-Zhong Yang
Witold Pedrycz
Yizhou Yu
Hong Yan
Ming Wu
Zhang Yi
Xian-Sheng Hua
Yuan Xie
Yu Hen Hu
Pietro Perona
Dong Xu
Fan Yang
Bing Zeng
Bo Li
David Zhang
Jiaya Jia
Alex C. Kot
Li Xu
Xin Zhang
Keqin Li
King Ngi Ngan
Shuicheng Yan
Wenjun Zhang
Xiaorui Wang
Hao Yang
Sun-Yuan Kung
Tong Zhang
Wenjun Zeng
Lei Zhang
Cheng-Lin Liu
Yo-Ping Huang
Min Gu
